transaction_id,Account_id,transaction_amount,transaction_date,time_to_purchase,gas_type,gas_price_purchase,product_id,Location,Age,product_name
23,1004,2.5,2023-01-01,19:00:00,,0.0,1,7,28.0,Coffee
41666,1013,65.77,2023-01-01,11:00:00,A,65.77,7,7,49.0,Cappuccino
6321,1014,37.8,2023-01-01,12:00:00,B,37.8,10,7,19.0,RedBull
34042,1015,3.0,2023-01-01,15:00:00,,0.0,2,7,39.0,Croissant
1006,1016,3.0,2023-01-01,16:00:00,,0.0,2,7,23.0,Croissant
2170,1016,3.5,2023-01-01,15:00:00,,0.0,4,7,23.0,Muffin
33889,1017,60.36,2023-01-01,17:00:00,A,60.36,1,7,41.0,Coffee
1659,1030,2.0,2023-01-01,09:00:00,,0.0,3,7,39.0,Tea
3792,1037,3.5,2023-01-01,13:00:00,,0.0,7,7,63.0,Cappuccino
7397,1039,39.16,2023-01-01,16:00:00,B,39.16,10,7,59.0,RedBull
39439,1040,70.95,2023-01-01,12:00:00,B,70.95,5,7,47.0,Bagel
8557,1050,45.81,2023-01-01,17:00:00,B,45.81,10,7,26.0,RedBull
37977,1050,3.5,2023-01-01,10:00:00,,0.0,4,7,26.0,Muffin
7971,1055,78.25,2023-01-01,10:00:00,A,78.25,10,7,48.0,RedBull
4944,1058,3.0,2023-01-01,13:00:00,,0.0,9,7,44.0,Hot Chocolate
844,1063,3.0,2023-01-01,12:00:00,,0.0,2,7,28.0,Croissant
8737,1063,38.95,2023-01-01,17:00:00,A,38.95,10,7,28.0,RedBull
42877,1064,74.37,2023-01-01,10:00:00,A,74.37,7,7,26.0,Cappuccino
34664,1066,3.0,2023-01-01,07:00:00,,0.0,2,7,25.0,Croissant
7480,1067,29.72,2023-01-01,18:00:00,X,29.72,10,7,36.0,RedBull
5197,1068,21.07,2023-01-01,06:00:00,X,21.07,10,7,65.0,RedBull
37177,1068,3.5,2023-01-01,20:00:00,,0.0,4,7,65.0,Muffin
40459,1069,45.77,2023-01-01,11:00:00,B,45.77,6,7,54.0,Latte
33312,1072,2.5,2023-01-01,14:00:00,,0.0,1,7,36.0,Coffee
33983,1075,74.47,2023-01-01,21:00:00,B,74.47,1,7,21.0,Coffee
2261,1085,3.0,2023-01-01,09:00:00,,0.0,5,7,28.0,Bagel
40084,1085,3.0,2023-01-01,09:00:00,,0.0,5,7,28.0,Bagel
4914,1087,3.0,2023-01-01,08:00:00,,0.0,9,7,53.0,Hot Chocolate
41051,1089,3.5,2023-01-01,06:00:00,,0.0,6,7,19.0,Latte
39751,1090,3.0,2023-01-01,10:00:00,,0.0,5,7,46.0,Bagel
40093,1092,3.0,2023-01-01,19:00:00,,0.0,5,7,61.0,Bagel
42030,1101,3.5,2023-01-01,08:00:00,,0.0,7,7,36.0,Cappuccino
6247,1107,37.81,2023-01-01,20:00:00,A,37.81,10,7,58.0,RedBull
32733,1107,2.5,2023-01-01,16:00:00,,0.0,1,7,58.0,Coffee
6504,1108,67.16,2023-01-01,18:00:00,B,67.16,10,7,42.0,RedBull
1194,1109,2.0,2023-01-01,06:00:00,,0.0,3,7,36.0,Tea
9945,1117,24.77,2023-01-01,12:00:00,A,24.77,10,7,62.0,RedBull
3317,1120,3.5,2023-01-01,16:00:00,,0.0,6,7,25.0,Latte
7942,1121,41.84,2023-01-01,09:00:00,A,41.84,10,7,65.0,RedBull
180,1123,2.5,2023-01-01,17:00:00,,0.0,1,7,51.0,Coffee
35112,1126,3.0,2023-01-01,15:00:00,,0.0,2,7,42.0,Croissant
34135,1129,3.0,2023-01-01,13:00:00,,0.0,2,7,52.0,Croissant
36787,1134,46.26,2023-01-01,22:00:00,B,46.26,3,7,18.0,Tea
38232,1141,52.35,2023-01-01,15:00:00,X,52.35,4,7,34.0,Muffin
5875,1146,40.97,2023-01-01,09:00:00,B,40.97,10,7,45.0,RedBull
33394,1146,45.2,2023-01-01,17:00:00,X,45.2,1,7,45.0,Coffee
34684,1147,29.13,2023-01-01,10:00:00,B,29.13,2,7,41.0,Croissant
6329,1149,64.64,2023-01-01,14:00:00,B,64.64,10,7,40.0,RedBull
33091,1151,2.5,2023-01-01,22:00:00,,0.0,1,7,43.0,Coffee
38639,1151,3.5,2023-01-01,19:00:00,,0.0,4,7,43.0,Muffin
3951,1156,2.5,2023-01-01,06:00:00,,0.0,8,7,43.0,Espresso
4730,1156,3.0,2023-01-01,20:00:00,,0.0,9,7,43.0,Hot Chocolate
41799,1158,43.19,2023-01-01,08:00:00,B,43.19,7,7,60.0,Cappuccino
41805,1159,59.05,2023-01-01,06:00:00,B,59.05,7,7,31.0,Cappuccino
6510,1164,38.77,2023-01-01,07:00:00,X,38.77,10,7,49.0,RedBull
38979,1167,62.35,2023-01-01,18:00:00,A,62.35,5,7,37.0,Bagel
5585,1169,71.91,2023-01-01,08:00:00,X,71.91,10,7,61.0,RedBull
4340,1170,2.5,2023-01-01,17:00:00,,0.0,8,7,19.0,Espresso
33195,1177,31.05,2023-01-01,06:00:00,A,31.05,1,7,63.0,Coffee
38381,1177,3.5,2023-01-01,06:00:00,,0.0,4,7,63.0,Muffin
5078,1178,82.65,2023-01-01,15:00:00,X,82.65,10,7,58.0,RedBull
43266,1178,2.5,2023-01-01,06:00:00,,0.0,8,7,58.0,Espresso
33781,1181,2.5,2023-01-01,16:00:00,,0.0,1,7,56.0,Coffee
43642,1181,32.42,2023-01-01,22:00:00,A,32.42,8,7,56.0,Espresso
43645,1181,37.15,2023-01-01,18:00:00,X,37.15,8,7,56.0,Espresso
2144,1184,3.5,2023-01-01,06:00:00,,0.0,4,7,62.0,Muffin
5565,1185,44.06,2023-01-01,10:00:00,A,44.06,10,7,45.0,RedBull
34096,1186,3.0,2023-01-01,13:00:00,,0.0,2,7,47.0,Croissant
9204,1187,65.56,2023-01-01,14:00:00,A,65.56,10,7,23.0,RedBull
949,1188,3.0,2023-01-01,13:00:00,,0.0,2,7,23.0,Croissant
42929,1192,54.9,2023-01-01,17:00:00,B,54.9,7,7,65.0,Cappuccino
4739,1195,3.0,2023-01-01,13:00:00,,0.0,9,7,20.0,Hot Chocolate
36418,1199,2.0,2023-01-01,17:00:00,,0.0,3,7,40.0,Tea
1277,1205,2.0,2023-01-01,09:00:00,,0.0,3,7,23.0,Tea
38019,1205,3.5,2023-01-01,06:00:00,,0.0,4,7,23.0,Muffin
32508,1209,30.55,2023-01-01,21:00:00,A,30.55,1,7,61.0,Coffee
4306,1211,2.5,2023-01-01,09:00:00,,0.0,8,7,35.0,Espresso
7784,1218,51.09,2023-01-01,15:00:00,A,51.09,10,7,18.0,RedBull
35259,1220,57.45,2023-01-01,10:00:00,B,57.45,2,7,55.0,Croissant
40802,1225,3.5,2023-01-01,20:00:00,,0.0,6,7,41.0,Latte
3752,1226,3.5,2023-01-01,13:00:00,,0.0,7,7,27.0,Cappuccino
39065,1230,64.18,2023-01-01,14:00:00,X,64.18,5,7,35.0,Bagel
1533,1231,2.0,2023-01-01,13:00:00,,0.0,3,7,18.0,Tea
35623,1232,3.0,2023-01-01,14:00:00,,0.0,2,7,63.0,Croissant
39959,1233,3.0,2023-01-01,18:00:00,,0.0,5,7,44.0,Bagel
9896,1237,39.72,2023-01-01,09:00:00,A,39.72,10,7,28.0,RedBull
36748,1238,35.91,2023-01-01,20:00:00,B,35.91,3,7,50.0,Tea
42600,1239,29.54,2023-01-01,14:00:00,A,29.54,7,7,29.0,Cappuccino
38206,1245,43.13,2023-01-01,10:00:00,A,43.13,4,7,57.0,Muffin
4249,1249,2.5,2023-01-01,08:00:00,,0.0,8,7,36.0,Espresso
1520,1250,2.0,2023-01-01,13:00:00,,0.0,3,7,41.0,Tea
36825,1257,2.0,2023-01-01,11:00:00,,0.0,3,7,47.0,Tea
4184,1260,2.5,2023-01-01,09:00:00,,0.0,8,7,51.0,Espresso
5811,1264,32.7,2023-01-01,10:00:00,B,32.7,10,7,37.0,RedBull
35603,1264,25.67,2023-01-01,10:00:00,A,25.67,2,7,37.0,Croissant
33825,1267,52.95,2023-01-01,21:00:00,X,52.95,1,7,45.0,Coffee
2890,1268,3.5,2023-01-01,18:00:00,,0.0,6,7,45.0,Latte
37097,1269,2.0,2023-01-01,18:00:00,,0.0,3,7,52.0,Tea
