transaction_id,Account_id,transaction_amount,transaction_date,time_to_purchase,gas_type,gas_price_purchase,product_id,Location
23,1004,2.5,2023-01-01,19:00:00,,0.0,1,7
41666,1013,65.77,2023-01-01,11:00:00,A,65.77,7,7
6321,1014,37.8,2023-01-01,12:00:00,B,37.8,10,7
34042,1015,3.0,2023-01-01,15:00:00,,0.0,2,7
1006,1016,3.0,2023-01-01,16:00:00,,0.0,2,7
2170,1016,3.5,2023-01-01,15:00:00,,0.0,4,7
33889,1017,60.36,2023-01-01,17:00:00,A,60.36,1,7
1659,1030,2.0,2023-01-01,09:00:00,,0.0,3,7
3792,1037,3.5,2023-01-01,13:00:00,,0.0,7,7
7397,1039,39.16,2023-01-01,16:00:00,B,39.16,10,7
39439,1040,70.95,2023-01-01,12:00:00,B,70.95,5,7
8557,1050,45.81,2023-01-01,17:00:00,B,45.81,10,7
37977,1050,3.5,2023-01-01,10:00:00,,0.0,4,7
7971,1055,78.25,2023-01-01,10:00:00,A,78.25,10,7
4944,1058,3.0,2023-01-01,13:00:00,,0.0,9,7
844,1063,3.0,2023-01-01,12:00:00,,0.0,2,7
8737,1063,38.95,2023-01-01,17:00:00,A,38.95,10,7
42877,1064,74.37,2023-01-01,10:00:00,A,74.37,7,7
34664,1066,3.0,2023-01-01,07:00:00,,0.0,2,7
7480,1067,29.72,2023-01-01,18:00:00,X,29.72,10,7
5197,1068,21.07,2023-01-01,06:00:00,X,21.07,10,7
37177,1068,3.5,2023-01-01,20:00:00,,0.0,4,7
40459,1069,45.77,2023-01-01,11:00:00,B,45.77,6,7
33312,1072,2.5,2023-01-01,14:00:00,,0.0,1,7
33983,1075,74.47,2023-01-01,21:00:00,B,74.47,1,7
2261,1085,3.0,2023-01-01,09:00:00,,0.0,5,7
40084,1085,3.0,2023-01-01,09:00:00,,0.0,5,7
4914,1087,3.0,2023-01-01,08:00:00,,0.0,9,7
41051,1089,3.5,2023-01-01,06:00:00,,0.0,6,7
39751,1090,3.0,2023-01-01,10:00:00,,0.0,5,7
40093,1092,3.0,2023-01-01,19:00:00,,0.0,5,7
42030,1101,3.5,2023-01-01,08:00:00,,0.0,7,7
6247,1107,37.81,2023-01-01,20:00:00,A,37.81,10,7
32733,1107,2.5,2023-01-01,16:00:00,,0.0,1,7
6504,1108,67.16,2023-01-01,18:00:00,B,67.16,10,7
1194,1109,2.0,2023-01-01,06:00:00,,0.0,3,7
9945,1117,24.77,2023-01-01,12:00:00,A,24.77,10,7
3317,1120,3.5,2023-01-01,16:00:00,,0.0,6,7
7942,1121,41.84,2023-01-01,09:00:00,A,41.84,10,7
180,1123,2.5,2023-01-01,17:00:00,,0.0,1,7
35112,1126,3.0,2023-01-01,15:00:00,,0.0,2,7
34135,1129,3.0,2023-01-01,13:00:00,,0.0,2,7
36787,1134,46.26,2023-01-01,22:00:00,B,46.26,3,7
38232,1141,52.35,2023-01-01,15:00:00,X,52.35,4,7
5875,1146,40.97,2023-01-01,09:00:00,B,40.97,10,7
33394,1146,45.2,2023-01-01,17:00:00,X,45.2,1,7
34684,1147,29.13,2023-01-01,10:00:00,B,29.13,2,7
6329,1149,64.64,2023-01-01,14:00:00,B,64.64,10,7
33091,1151,2.5,2023-01-01,22:00:00,,0.0,1,7
38639,1151,3.5,2023-01-01,19:00:00,,0.0,4,7
3951,1156,2.5,2023-01-01,06:00:00,,0.0,8,7
4730,1156,3.0,2023-01-01,20:00:00,,0.0,9,7
41799,1158,43.19,2023-01-01,08:00:00,B,43.19,7,7
41805,1159,59.05,2023-01-01,06:00:00,B,59.05,7,7
6510,1164,38.77,2023-01-01,07:00:00,X,38.77,10,7
38979,1167,62.35,2023-01-01,18:00:00,A,62.35,5,7
5585,1169,71.91,2023-01-01,08:00:00,X,71.91,10,7
